Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Togo,0,0,0,1,0,1,18,20,48,86,0,45,"1,764",105,"2,000"
Uganda,0,0,0,28,0,28,49,39,73,161,0,58,"1,874",125,"2,218"
Zambia,0,0,0,0,0,0,10,26,40,76,0,40,"1,868",71,"2,055"
Zimbabwe,0,0,0,1,0,1,9,15,27,51,0,32,"1,424",26,"1,533"
Afghanistan,0,0,0,0,0,0,4,9,24,37,0,27,590,21,675
Armenia,0,0,0,0,0,0,7,8,26,41,0,38,471,18,568
Azerbaijan,0,1,1,2,0,3,13,10,31,54,0,41,583,45,724
Bahrain,0,0,0,0,0,0,10,10,30,50,0,53,642,31,776
Cyprus,0,0,0,1,0,1,10,21,35,66,0,37,650,66,819
Georgia,0,0,0,0,0,0,7,10,39,56,0,47,601,24,728
"Iran, Islamic Republic of",0,1,1,1,0,2,23,40,94,157,0,98,"1,698",163,"2,117"
Iraq,0,0,0,1,0,1,12,16,53,81,0,71,935,48,"1,135"
Israel,4,0,4,0,0,4,23,46,122,191,0,135,"1,601",154,"2,085"
Jordan,0,0,0,0,0,0,4,26,88,118,0,118,"1,253",97,"1,586"
Kazakhstan,1,1,2,2,0,4,15,19,44,78,0,38,760,60,938
Kuwait,1,0,1,0,0,1,8,13,39,60,0,55,753,35,904
Kyrgyzstan,0,0,0,0,0,0,1,12,26,39,0,24,461,14,538
Lebanon,0,0,0,0,0,0,9,27,47,83,0,40,722,69,914
Oman,0,0,0,1,0,1,13,34,70,117,0,94,"1,581",129,"1,921"
Pakistan,0,0,0,1,0,1,20,46,89,155,0,97,"1,667",96,"2,015"
"Palestine, State of",0,0,0,0,0,0,4,13,17,34,0,22,366,21,443
Qatar,0,0,0,0,0,0,11,10,36,57,0,54,666,25,802
Saudi Arabia,1,0,1,0,0,1,13,34,106,153,2,139,"1,602",151,"2,048"
Syrian Arab Republic,1,0,1,6,0,7,18,37,65,120,0,51,857,90,"1,119"
Tajikistan,0,0,0,1,0,1,3,9,24,36,0,21,460,26,543
Turkey,4,0,4,12,0,16,69,108,124,301,0,104,"1,295",196,"1,900"
Turkmenistan,0,1,1,1,0,2,11,14,30,55,0,29,573,44,702
United Arab Emirates,0,0,0,0,0,0,10,25,45,80,0,57,"1,072",58,"1,267"
Uzbekistan,0,0,0,2,0,2,9,10,28,47,0,28,505,22,602
Yemen,2,0,2,1,0,3,11,34,118,163,0,154,"1,909",185,"2,413"
