,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
173,Benin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
174,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
175,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
176,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
177,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
178,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
179,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
180,Chad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
181,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
182,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
183,"Congo, The Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
184,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
185,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
186,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
187,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
188,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
189,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
190,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
191,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
192,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
193,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
194,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
195,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
196,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
197,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
198,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
199,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
200,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
201,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
202,Mauritius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,fungus
203,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
204,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
205,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
206,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
207,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
208,Réunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
209,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
210,"Saint Helena, Ascension and Tristan da Cunha",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,fungus
211,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
212,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
213,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
214,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
215,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
216,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,fungus
217,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
218,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
219,"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
220,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
221,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
222,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
223,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
224,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
225,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,fungus
226,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus
227,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
228,Cyprus,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,fungus
229,Georgia,0,0,0,0,0,0,0,0,4,4,0,1,9,0,14,fungus
230,"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
231,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
232,Israel,0,0,0,0,0,0,0,0,1,1,0,1,4,0,6,fungus
233,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
234,Kazakhstan,0,0,0,0,0,0,0,0,1,1,0,3,4,1,9,fungus
235,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
236,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
237,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
238,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
239,Pakistan,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,fungus
240,"Palestine, State of",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
241,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
242,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
243,Syrian Arab Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
244,Tajikistan,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,fungus
245,Turkey,0,0,0,0,0,0,0,0,7,7,0,3,8,0,18,fungus
246,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus
247,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
248,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,fungus
249,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
