,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
202,Mauritius,1,0,1,0,0,1,64,17,11,92,0,0,154,1,248,plant
203,Mayotte,0,0,0,0,0,0,0,6,4,10,0,0,78,0,88,plant
204,Mozambique,0,0,0,1,0,1,22,99,133,254,0,42,"1,261",50,"1,607",plant
205,Namibia,0,0,0,1,0,1,3,4,24,31,0,12,694,11,748,plant
206,Niger,0,0,0,0,0,0,0,1,3,4,0,2,386,3,395,plant
207,Nigeria,0,0,0,1,0,1,19,51,152,222,2,34,"1,343",12,"1,613",plant
208,Réunion,0,0,0,0,0,0,9,8,4,21,0,1,100,2,124,plant
209,Rwanda,0,1,1,3,0,4,4,52,56,112,1,17,670,7,808,plant
210,"Saint Helena, Ascension and Tristan da Cunha",8,2,10,0,0,10,27,6,11,44,0,1,26,5,86,plant
211,Sao Tome and Principe,2,0,2,0,0,2,1,21,32,54,0,13,166,0,235,plant
212,Senegal,2,0,2,0,0,2,1,9,14,24,0,9,737,7,779,plant
213,Seychelles,2,0,2,0,0,2,17,13,31,61,0,8,116,0,187,plant
214,Sierra Leone,1,0,1,1,0,2,8,37,77,122,1,26,811,9,970,plant
215,Somalia,0,0,0,0,0,0,3,23,30,56,0,44,419,12,531,plant
216,South Africa,2,3,5,7,3,15,63,115,136,314,2,121,"1,361",38,"1,841",plant
217,South Sudan,0,0,0,0,0,0,0,4,14,18,1,7,622,2,650,plant
218,Sudan,0,0,0,0,0,0,1,3,15,19,1,5,661,4,690,plant
219,"Tanzania, United Republic of",0,0,0,40,1,41,109,404,350,863,2,102,"1,744",63,"2,774",plant
220,Togo,0,0,0,0,0,0,0,3,11,14,0,6,722,1,743,plant
221,Uganda,0,0,0,3,0,3,8,34,66,108,1,26,"1,145",13,"1,293",plant
222,Zambia,0,0,0,0,0,0,3,15,18,36,0,19,"1,125",35,"1,215",plant
223,Zimbabwe,0,0,0,0,2,2,2,21,50,73,0,21,"1,116",19,"1,229",plant
224,Afghanistan,0,0,0,0,0,0,1,4,3,8,0,6,324,13,351,plant
225,Armenia,0,0,0,0,0,0,18,43,15,76,0,12,245,36,369,plant
226,Azerbaijan,0,0,0,0,0,0,7,18,21,46,0,18,262,25,351,plant
