,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
128,512,512,128,Palau,1,0,1,13,0,14,28,35,128,191,4,146,"1,884",107,"2,333",animal,PLW
129,516,516,129,Papua New Guinea,1,0,1,2,0,3,49,87,301,437,3,284,"4,051",525,"5,301",animal,PNG
130,520,520,130,Pitcairn,0,0,0,0,0,0,1,8,28,37,1,25,523,27,613,animal,PCN
131,524,524,131,Samoa,2,0,2,0,0,2,5,20,75,100,3,85,"1,344",78,"1,612",animal,WSM
132,528,528,132,Solomon Islands,2,0,2,3,0,5,15,39,189,243,3,201,"2,210",145,"2,804",animal,SLB
133,532,532,133,Tokelau,0,0,0,0,0,0,1,11,46,58,2,58,899,34,"1,051",animal,TKL
134,536,536,134,Tonga,2,0,2,2,0,4,5,20,68,93,3,70,"1,418",59,"1,645",animal,TON
135,540,540,135,Tuvalu,0,0,0,0,0,0,1,14,87,102,3,113,"1,094",46,"1,358",animal,TUV
136,544,544,136,United States Minor Outlying Islands,1,0,1,0,0,1,4,9,63,76,1,75,"1,256",53,"1,462",animal,UMI
137,548,548,137,Vanuatu,1,0,1,0,0,1,2,23,114,139,3,135,"1,804",96,"2,178",animal,VUT
138,552,552,138,Wallis and Futuna,0,0,0,0,0,0,2,13,78,93,0,94,"1,201",50,"1,438",animal,WLF
139,556,556,139,Argentina,3,3,6,6,0,12,41,69,118,228,0,127,"2,211",178,"2,750",animal,ARG
140,560,632,158,Disputed Territory,0,0,0,0,0,0,1,5,14,20,0,5,"1,086",34,"1,145",animal,None
141,564,564,141,Brazil,11,2,13,11,0,24,105,144,287,536,9,230,"4,768",700,"6,256",animal,BRA
142,568,568,142,Chile,1,0,1,3,0,4,25,62,81,168,0,84,"1,302",201,"1,756",animal,CHL
143,572,572,143,Colombia,1,0,1,40,2,43,126,227,361,714,2,259,"5,283",586,"6,845",animal,COL
144,577,577,144,Ecuador,8,0,8,41,0,49,112,164,296,572,2,207,"3,527",371,"4,687",animal,ECU
145,580,580,145,Falkland Islands (Malvinas),1,0,1,0,0,1,0,8,11,19,0,10,281,17,328,animal,FLK
146,584,584,146,French Guiana,0,0,0,0,0,0,13,16,45,74,1,46,"2,081",93,"2,295",animal,GUF
147,586,432,108,Moldova,1,0,1,0,0,1,6,5,22,33,0,33,442,6,515,animal,MDA
148,588,588,147,Guyana,0,0,0,0,0,0,14,28,61,103,2,57,"2,281",109,"2,552",animal,GUY
149,592,592,148,Paraguay,0,3,3,2,0,5,7,12,30,49,0,61,"1,106",38,"1,257",animal,PRY
150,596,596,149,Peru,1,0,1,10,0,11,58,155,209,422,2,204,"3,891",474,"4,994",animal,PER
151,600,600,150,Suriname,0,0,0,0,0,0,10,17,45,72,0,53,"2,141",95,"2,361",animal,SUR
