,Unnamed: 0,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
224,56,Germany,4,0,4,5,0,9,18,29,62,109,0,83,939,82,"1,217",animal,DEU
225,56,Germany,0,0,0,0,0,0,17,18,16,51,0,14,485,25,575,plant,DEU
226,13,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus,CUB
227,56,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DEU
228,57,Gibraltar,0,0,0,0,0,0,5,8,30,43,0,20,530,32,625,animal,GIB
229,57,Gibraltar,0,0,0,0,0,0,0,0,1,1,0,0,37,1,39,plant,GIB
230,57,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GIB
231,14,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,CUW
232,58,Greece,4,0,4,11,1,16,77,114,250,441,0,161,"1,528",264,"2,398",animal,GRC
233,58,Greece,0,0,0,1,0,1,17,28,32,77,0,31,607,76,791,plant,GRC
234,228,Cyprus,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,fungus,CYP
235,58,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRC
236,59,Greenland,1,0,1,0,0,1,2,5,20,27,0,8,217,20,273,animal,GRL
237,59,Greenland,0,0,0,0,0,0,0,0,1,1,0,0,124,0,125,plant,GRL
238,50,Czechia,0,0,0,0,0,0,0,2,29,31,0,17,31,3,82,fungus,CZE
239,59,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRL
240,60,Guernsey,0,0,0,0,0,0,1,1,11,13,0,3,197,12,225,animal,GGY
241,60,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,plant,GGY
242,51,Denmark,0,0,0,0,0,0,0,2,27,29,0,11,38,0,78,fungus,DNK
243,60,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GGY
244,61,Holy See (Vatican City State),0,0,0,0,0,0,0,0,2,2,0,3,21,2,28,animal,VAT
245,61,Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,plant,VAT
246,61,Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VAT
560,140,Bolivia,0,0,0,9,0,9,35,34,88,157,2,98,"2,312",132,"2,701",animal,BOL
248,62,Hungary,0,0,0,0,0,0,7,15,41,63,0,54,693,47,857,animal,HUN
249,62,Hungary,0,0,0,0,0,0,13,14,18,45,0,5,396,30,476,plant,HUN
250,185,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,DJI
251,62,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HUN
252,63,Iceland,1,0,1,0,0,1,5,8,20,33,0,19,353,27,433,animal,ISL
253,63,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,145,2,147,plant,ISL
254,15,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,DMA
255,63,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ISL
256,64,Ireland,1,0,1,0,0,1,9,11,37,57,0,37,768,65,928,animal,IRL
257,64,Ireland,0,0,0,0,0,0,2,2,4,8,0,10,311,3,332,plant,IRL
258,16,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,DOM
259,64,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,IRL
260,65,Isle of Man,0,0,0,0,0,0,1,2,4,7,0,3,79,6,95,animal,IMN
261,65,Isle of Man,0,0,0,0,0,0,0,1,0,1,0,0,71,0,72,plant,IMN
262,144,Ecuador,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,fungus,ECU
263,65,Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,IMN
264,66,Italy,3,0,3,7,0,10,48,97,181,326,0,199,"1,619",263,"2,410",animal,ITA
265,66,Italy,0,0,0,1,0,1,41,42,38,121,0,55,810,68,"1,054",plant,ITA
266,99,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,EGY
